fluctuations,"['f', 'l', 'u', 'c', 't', 'u', 'a', 't', 'i', 'o', 'n', 's']","['e', 'r', 'd', 'g', 'p', 'm', 'h', 'b', 'y']",1,True
pertinent,"['p', 'e', 'r', 't', 'i', 'n', 'e', 'n', 't']","['s', 'a', 'o', 'l', 'c', 'd', 'u', 'g']",2,True
banshees,"['_', 'a', 'n', 's', '_', 'e', 'e', 's']","['i', 'r', 't', 'o', 'l', 'c', 'd', 'u', 'g', 'p']",0,False
expediter,"['e', '_', 'p', 'e', 'd', 'i', 't', 'e', 'r']","['s', 'a', 'n', 'o', 'l', 'c', 'u', 'g', 'm', 'h']",0,False
slumlords,"['s', 'l', 'u', 'm', 'l', 'o', 'r', 'd', 's']","['e', 'i', 'a', 'n', 't', 'c', 'g', 'p']",2,True
treasurers,"['t', 'r', 'e', 'a', 's', 'u', 'r', 'e', 'r', 's']","['i', 'n', 'o', 'l', 'c', 'd']",4,True
tithes,"['t', 'i', 't', '_', 'e', 's']","['a', 'r', 'n', 'o', 'l', 'c', 'd', 'u', 'g', 'p']",0,False
fabrics,"['_', 'a', '_', 'r', 'i', 'c', 's']","['e', 'n', 't', 'o', 'l', 'd', 'u', 'g', 'p', 'm']",0,False
liberalise,"['l', 'i', '_', 'e', 'r', 'a', 'l', 'i', 's', 'e']","['n', 't', 'o', 'c', 'd', 'u', 'g', 'p', 'm', 'h']",0,False
emitting,"['e', 'm', 'i', 't', 't', 'i', 'n', 'g']","['s', 'a', 'r', 'o', 'l', 'c', 'd', 'u', 'p']",1,True
